StandardVesselType;ShiptypeLevel5;Classif;;;;;;
Miscellaneous-other;Other Activities, Inland Waterways;other;;;;;;
Miscellaneous-other;Diving Vessel, Naval Auxiliary;Military;;;;;;
Miscellaneous-other;Unknown Function, Naval/Naval Auxiliary;Military;;;;;;
Miscellaneous-other;Crane Vessel;other;;;;;;
Miscellaneous-other;Fishery Patrol Vessel;other;;;;;;
Miscellaneous-other;Sail Training Ship;other;;;;;;
Miscellaneous-other;Deck Cargo Pontoon, non propelled;other;;;;;;
Miscellaneous-other;Pontoon (Function Unknown);other;;;;;;
Miscellaneous-other;Trans Shipment Barge, non propelled;other;;;;;;
Miscellaneous-other;Lighthouse Tender;other;;;;;;
